Location ID,Location Name,Hospital,"Aviva, Key List - Personal Care","Aviva, Key List - Select Care","Aviva, Key List - Children's","Aviva, Extended List - Express Care","Aviva, Extended List - Exclusive","Aviva, Extended List - Company Connect","Aviva, Extended List - Company Healthcover",Aviva - Fair & Square,Aviva - Speedy Diagnostics,Aviva - Capital Option List,Aviva -Trust Hospital List,IGNORE AFTER THIS COLUMN,"Personal Care, Select Care, Children's Private Medical Insurance","Express Care, Exclusive, Company Connect, Company Healthcover",T,Signature (Scotland & NI),Aviva - Capital Option,Country
,,Advanced Vision Care,1,1,1,1,1,1,1,,,1,,,1,1,,,,England
RCF22,Airedale General Hospital ,Airedale General Hospital - Ward 19,1,1,1,1,1,1,1,,,1,1,,1,1,1,,,England
1-118024670,Benenden Hospital ,Benenden Hospital,1,1,1,1,1,1,1,1,,1,,,1,1,,,,England
1-128758337,BMI Bishops Wood Hospital ,BMI Bishops Wood Hospital,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,England
1-128758401,BMI Chelsfield Park Hospital ,BMI Chelsfield Park Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128758296,BMI Gisburne Park Hospital ,BMI Gisburne Park,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128766799,BMI Goring Hall Hospital ,BMI Goring Hall Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128766778,BMI Hendon Hospital ,BMI Hendon Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-617694390,BMI Lincoln ,BMI Lincoln Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128767084,BMI The Park Hospital ,BMI Park Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128767211,BMI Sarum Road Hospital ,BMI Sarum Road Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128767270,BMI The Shirley Oaks Hospital ,BMI Shirley Oaks Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-5462921034,BMI Southend Private Hospital ,BMI Southend Hospital,1,1,1,1,1,1,1,,1,1,,,1,1,,,,England
1-128767355,BMI St Edmunds Hospital ,BMI St. Edmunds Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128758569,BMI The Alexandra Hospital ,BMI The Alexandra Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128758255,BMI Bath Clinic ,BMI The Bath Clinic,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128758505,BMI The Beardwood Hospital ,BMI The Beardwood Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128758526,BMI The Beaumont Hospital ,BMI The Beaumont Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128758547,BMI The Blackheath Hospital ,BMI The Blackheath Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128758601,BMI The Cavell Hospital ,BMI The Cavell Hospital,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,England
1-128758675,BMI The Chaucer Hospital ,BMI The Chaucer Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128758622,BMI The Chiltern Hospital ,BMI The Chiltern Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128758653,BMI The Clementine Churchill Hospital ,BMI The Clementine Churchill Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128758696,BMI The Droitwich Spa Hospital ,BMI The Droitwich Spa Private Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128766718,BMI The Duchy Hospital ,BMI The Duchy Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128758464,BMI The Edgbaston Hospital ,BMI The Edgbaston Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128766820,BMI The Hampshire Clinic ,BMI The Hampshire Clinic,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128766841,BMI The Harbour Hospital ,BMI The Harbour Hospital,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,England
1-128766862,BMI The Highfield Hospital ,BMI The Highfield Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128766884,BMI The Huddersfield Hospital ,BMI The Huddersfield Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128766906,BMI The Kings Oak Hospital ,BMI The Kings Oak Hospital,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,England
1-128766928,BMI The Lancaster Hospital ,BMI The Lancaster Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128766965,BMI The London Independent Hospital ,BMI The London Independent Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128767002,BMI The Manor Hospital ,BMI The Manor Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128767023,BMI The Meriden Hospital ,BMI The Meriden Hospital,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,England
1-128767105,BMI The Princess Margaret Hospital ,BMI The Princess Margaret Hospital,1,1,1,1,1,1,1,1,,1,,,1,1,,,,England
1-128767127,BMI The Priory Hospital ,BMI The Priory Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128767148,BMI The Ridgeway Hospital ,BMI The Ridgeway Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128767168,BMI The Runnymede Hospital ,BMI The Runnymede Hospital,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,England
1-128767190,BMI The Sandringham Hospital ,BMI The Sandringham Hopital,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,England
1-128767232,BMI The Saxon Clinic ,BMI The Saxon Clinic,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128767252,BMI The Shelburne Hospital ,BMI The Shelburne Hospital,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,England
1-128767290,BMI The Sloane Hospital ,BMI The Sloane Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128767334,BMI The South Cheshire Hospital ,BMI The South Cheshire Private Hospital,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,England
1-128767375,BMI Thornbury Hospital ,BMI Thornbury Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-2079393249,BMI Three Shires Hospital ,BMI Three Shires Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128767396,BMI The Winterbourne Hospital ,BMI Winterbourne Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128767416,BMI Woodlands Hospital ,BMI Woodlands Hospital,1,1,1,1,1,1,1,,1,1,,,1,1,,,,England
RAE01,Bradford Royal Infirmary ,Bradford Royal Infirmary - York Suite,1,1,1,1,1,1,1,,1,1,1,,1,1,1,,,England
1-130440888,BUPA Cromwell Hospital ,Bupa Cromwell Hospital,1,1,1,1,1,1,1,,1,,,,1,1,,,C,England
RYJ02,Charing Cross Hospital ,Charing Cross Hospital,1,1,1,1,1,1,1,,1,1,1,,1,1,1,,,England
RQM01,Chelsea and Westminster Hospital ,Chelsea & Westminster Hospital - Chelsea Wing,1,1,1,1,1,1,1,,1,1,1,,1,1,1,,,England
1-336444251,The Christie Clinic ,Christie Hospital - The Christie Clinic,S,S,S,S,S,S,S,,,1,S,,S,S,S,,,England
1-119269999,Circle Hospital (Bath) Ltd ,Circle Bath Hospital,1,1,1,1,1,1,1,,1,1,,,1,1,,,,England
1-445725083,Circle Reading ,Circle Reading Hospital,1,1,1,1,1,1,1,,1,1,,,1,1,,,,England
1-1890547322,Claremont Hospital ,Claremont Private Hospital,1,1,1,1,1,1,1,,1,1,,,1,1,,,,England
RXC02,Eastbourne District General Hospital ,Eastbourne District General Hospital - Michelham,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,England
1-114621322,Fairfield Independent Hospital ,Fairfield Independent Hospital,1,1,1,1,1,1,1,,1,1,,,1,1,,,,England
1-115172463,The Foscote Private Hospital ,Foscote Private Hospital,1,1,1,1,1,1,1,,,1,,,1,1,,,,England
RDU01,Frimley Park Hospital ,Frimley Park Hospital - Parkside Suite,1,1,1,1,1,1,1,,1,1,1,,1,1,1,,,England
RP401,Great Ormond Street Hospital ,Great Ormond Street Children's Hospital - International and Private Patients' Wing,S,S,S,S,S,S,S,,,,S,,S,S,S,,C,England
RAL80,Hadley Wood Hospital ,Hadley Wood Hospital - Royal Free,1,1,1,1,1,1,1,,1,1,1,,1,1,1,,,England
RYJ03,Hammersmith Hospitals ,Hammersmith Hospital,1,1,1,1,1,1,1,,1,,1,,1,1,1,,C,England
RT301,Harefield Hospital ,Harefield Hospital - Private Patients’ Unit,S,S,S,S,S,S,S,,,1,S,,S,S,S,,,England
RF4QH,Queen's Hospital ,Harley Street at Queen’s Hospital,1,1,1,1,1,1,1,,,1,,,1,1,,,,England
1-126955771,The Harley Street Clinic ,Harley Street Clinic,,,,1,1,1,1,1,,C,,,,1,,,1,England
RCD01,Harrogate District Hospital ,Harrogate District Hospital - Harlow Ward,1,1,1,1,1,1,1,,1,1,1,,1,1,1,,,England
1-126955790,HCA Healthcare UK at University College Hospital ,HCA Healthcare UK at University College Hospital,S,S,S,S,S,S,S,,,1,,,S,S,,,,England
RGP75,James Paget Hospital ,James Paget Hospital - Charnwood Suite,1,1,1,1,1,1,1,,1,1,1,,1,1,1,,,England
1-1285831303,KIMS Hospital ,KIMS Hospital Limited,1,1,1,1,1,1,1,,1,1,,,1,1,,,,England
RAX01,Kingston Hospital ,Kingston Hospital - The Coombe Wing,1,1,1,1,1,1,1,,,1,1,,1,1,1,,,England
1-126955884,The Lister Hospital ,Lister Hospital,,,,1,1,1,1,1,,C,,,,1,,,1,England
REP01,Liverpool Women's Hospital ,Liverpool Women’s Hospital,S,S,S,S,S,S,S,,,,S,,S,S,S,,C,England
1-126955902,The London Bridge Hospital ,London Bridge Hospital,,,,1,1,1,1,1,,C,,,,1,,,1,England
RJ121,Guy's Hospital ,London Bridge Hospital at Guy's,S,S,S,S,S,S,S,,,1,,,S,S,,,,England
1-114617347,The London Clinic ,London Clinic,1,1,1,1,1,1,1,,,,,,1,1,,,C,England
RC971,Luton and Dunstable Hospital ,Luton & Dunstable Hospital - Cobham Clinic,1,1,1,1,1,1,1,,1,,1,,1,1,1,,C,England
R0A02,Manchester Royal Infirmary ,Manchester Royal Infirmary,1,1,1,1,1,1,1,,1,1,,,1,1,,,,England
RP601,Moorfields Eye Hospital ,Moorfields Eye Hospital - Cumberlege Wing,S,S,S,S,S,S,S,,,C,S,,S,S,S,,,England
RRVNQ,The National Hospital for Neurology and Neurosurgery ,National Hospital for Neurology & Neurosurgery,S,S,S,S,S,S,S,,,C,S,,S,S,S,,,England
1-250423066,The New Malden Diagnostic Centre ,New Malden Diagnostic Centre,,,,1,1,1,1,,,,,,,1,,,1,England
1-108386437,The New Victoria Hospital ,New Victoria Hospital,1,1,1,1,1,1,1,,,1,,,1,1,,,,England
RBZ12,North Devon District Hospital ,North Devon District Hospital - Roborough Suite,1,1,1,1,1,1,1,,1,1,1,,1,1,1,,,England
RN506,Basingstoke and North Hampshire Hospital ,North Hampshire Hospital,1,1,1,1,1,1,1,,,1,1,,1,1,1,,,England
R1K01,Northwick Park Hospital ,Northwick Park & St.Marks Hospitals,1,1,1,1,1,1,1,,,1,1,,1,1,1,,,England
1-764278383,Nova Healthcare ,Nova Healthcare,1,1,1,1,1,1,1,,,1,,,1,1,,,,England
1-115574313,Nuffield Health Bournemouth Hospital ,Nuffield Health Bournemouth Hospital,1,1,1,1,1,1,1,1,,1,,,1,1,,,,England
1-115574336,Nuffield Health Brentwood Hospital ,Nuffield Health Brentwood Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-115574357,Nuffield Health Brighton Hospital ,Nuffield Health Brighton Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-918228984,Nuffield Health Bristol Hospital - The Chesterfield ,Nuffield Health Bristol Hospital - The Chesterfield,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-115574398,Nuffield Health Cambridge Hospital ,Nuffield Health Cambridge Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-115574419,Nuffield Health Cheltenham Hospital ,Nuffield Health Cheltenham Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-115574439,Nuffield Health Chichester Hospital ,Nuffield Health Chichester Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-115574458,Nuffield Health Derby Hospital ,Nuffield Health Derby Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-115574477,Nuffield Health Exeter Hospital ,Nuffield Health Exeter Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-115574737,Nuffield Health The Grosvenor Hospital Chester ,Nuffield Health Grosvenor Hospital (Chester),1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-115574498,Nuffield Health Guildford Hospital ,Nuffield Health Guildford Hospital,1,1,1,1,1,1,1,1,,1,,,1,1,,,,England
1-115574818,Nuffield Health Wessex Hospital ,Nuffield Health Hampshire/ Wessex Hospital,1,1,1,1,1,1,1,1,,1,,,1,1,,,,England
1-115574517,Nuffield Health Haywards Heath Hospital ,Nuffield Health Haywards Heath Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-115574537,Nuffield Health Hereford Hospital ,Nuffield Health Hereford Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-115574557,Nuffield Health Ipswich Hospital ,Nuffield Health Ipswich Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-115574578,Nuffield Health Leeds Hospital ,Nuffield Health Leeds Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-115574597,Nuffield Health Leicester Hospital ,Nuffield Health Leicester Hospital,1,1,1,1,1,1,1,1,,1,,,1,1,,,,England
1-115574757,Nuffield Health The Manor Hospital Oxford ,Nuffield Health Manor Hosp Oxford,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-115574618,Nuffield Health Newcastle-upon-Tyne Hospital ,Nuffield Health Newcastle-upon-Tyne Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-115574639,Nuffield Health North Staffordshire Hospital ,Nuffield Health North Staffordshire Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
